City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Dali,CN,59.49,clear sky,25.7,100.1833,Dali Travelling With Hostel
194,Christchurch,NZ,63.32,clear sky,-43.5333,172.6333,The George
195,Porbandar,IN,80.37,few clouds,21.6422,69.6093,Lords Inn Porbandar
196,Lichinga,MZ,66.29,few clouds,-13.3128,35.2406,Residencial Bendiak
197,Millinocket,US,74.55,overcast clouds,45.6573,-68.7098,Katahdin Inn & Suites
199,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
201,Lasa,IT,56.03,clear sky,46.6166,10.7002,Pension Feldgärtenhof
204,Ormara,PK,82.6,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
206,Sandanski,BG,61.86,scattered clouds,41.5667,23.2833,"Hotel ""Perun"""
207,Margate,GB,68.7,clear sky,51.3813,1.3862,Premier Inn Margate hotel
208,Zhangye,CN,66.76,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
211,San Luis,AR,78.37,clear sky,-33.295,-66.3356,Huarpes Hotel
212,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
213,Constitucion,CL,64.56,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
217,Melnik,CZ,63.95,overcast clouds,50.3505,14.4741,SPRING HOTEL - MĚLNÍK
218,Tual,ID,79.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
219,Mayo,US,76.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
220,Pacific Grove,US,83.16,scattered clouds,36.6177,-121.9166,Lovers Point Inn
221,Rajpipla,IN,76.33,heavy intensity rain,21.8667,73.5,Lal Tower Govt. Guest House
222,Westerland,DE,60.82,overcast clouds,54.9079,8.3033,Dorint Strandhotel & Spa Westerland / Sylt
224,Suez,EG,72.14,clear sky,29.9737,32.5263,Green House
225,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
226,Richards Bay,ZA,66.52,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
229,Saint Anthony,US,57.34,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
230,Coos Bay,US,81.99,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
231,Northam,GB,66.2,overcast clouds,51.0333,-4.2167,Durrant House Hotel
232,Guerrero Negro,MX,77.52,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
233,Pontianak,ID,73.38,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
235,Auki,SB,76.46,scattered clouds,-8.7676,160.7034,Auki Motel
238,Bantigue,PH,77.79,broken clouds,10.9899,124.6225,GV Hotel Ormoc
239,Palasa,IN,78.78,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
240,Wuda,CN,64.31,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
243,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
244,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
246,Gongzhuling,CN,59.11,light rain,43.5008,124.8198,如家旅馆
247,Port Macquarie,AU,51.76,clear sky,-31.4333,152.9167,Rydges Port Macquarie
248,Fomboni,KM,76.51,clear sky,-12.28,43.7425,Auberge les abou
249,Paita,PE,77.56,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
250,Homnabad,IN,73.72,overcast clouds,17.7667,77.1333,Marthand Vilas
251,Kapoeta,SS,74.75,overcast clouds,4.7717,33.5903,Eastgate Hotel
252,Buchanan,LR,80.56,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
253,Tapes,BR,65.71,broken clouds,-30.6733,-51.3958,Cabanas Camping Union
254,Kahului,US,77.68,clear sky,20.8947,-156.47,Maui Seaside Hotel
260,Yulara,AU,60.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
262,Santa Maria Do Para,BR,86.77,overcast clouds,-1.3503,-47.5756,Shopping Motel (Adults Only)
263,Kasongo,CD,68.4,light rain,-4.45,26.6667,Guest Hôtel
264,La Carolina,ES,73.72,overcast clouds,38.2756,-3.6153,NH La Perdiz
265,Jumla,NP,59.56,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
266,Itarema,BR,83.82,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
268,Sao Filipe,CV,78.42,broken clouds,14.8961,-24.4956,Hotel Xaguate
270,Bowen,AU,57.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
272,Madang,PG,76.26,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
273,Juba,SS,71.89,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
275,Sinnamary,GF,85.89,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
277,Komsomolskiy,UZ,65.12,clear sky,40.4272,71.7189,Ikathouse
278,Chuncheng,CN,75.72,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
282,Plettenberg Bay,ZA,56.3,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
284,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
287,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
288,Bandarbeyla,SO,81.21,light rain,9.4942,50.8122,JABIR HOTEL
289,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
290,Moctezuma,MX,79.63,overcast clouds,29.8,-109.6667,Hotel Lobohombo
291,Holme,DK,59.76,overcast clouds,56.1138,10.1725,Hotel Ritz Aarhus City
292,Dunedin,NZ,57.79,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
293,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
294,Vila,PT,58.33,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
295,Fortuna,US,81.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
296,Bethel,US,74.91,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
301,Winslow,US,81.97,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
302,Matara,LK,78.73,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
303,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
305,Bibiani,GH,72.45,moderate rain,6.4635,-2.3194,Rodick Hotel
307,Muroto,JP,73.89,clear sky,33.2833,134.15,Oota Ryokan
308,Makungu,TZ,60.89,clear sky,-8.7333,35.2833,Complex
309,Kjollefjord,NO,50.05,scattered clouds,70.9457,27.3465,Hotel Nordkyn
310,Moron,AR,69.06,few clouds,-34.6534,-58.6198,Hotel Morón
311,Mangrol,IN,79.86,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
312,Rjukan,NO,51.71,few clouds,59.8789,8.5941,Park Hotell Rjukan
314,Maracacume,BR,85.71,overcast clouds,-2.0428,-45.9592,Hotel Ramos
315,Zeya,RU,53.26,overcast clouds,53.75,127.2667,Kapital Inn
316,Russell,US,78.96,clear sky,32.3502,-85.1999,Macs
317,Ramsar,IR,76.44,scattered clouds,36.9226,50.6426,Rasa Residential Hotel
318,La Macarena,CO,88.47,scattered clouds,2.1837,-73.7849,Hotel Punto Verde
319,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
320,Ugoofaaru,MV,81.5,overcast clouds,5.6667,73.0,Ungoofaaru Inn
321,Kollam,IN,82.27,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
326,Ilo,PE,61.66,clear sky,-17.6394,-71.3375,Torreblanca Hotel
327,Kamaishi,JP,62.74,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
328,Flinders,AU,59.81,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
329,Tooele,US,77.25,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
330,East London,ZA,58.14,clear sky,-33.0153,27.9116,Tu Casa
332,Gull Lake,CA,57.56,clear sky,50.1001,-108.4847,Campbell's Accommodations
338,Raudeberg,NO,53.2,broken clouds,61.9875,5.1352,Nordre Silda.
339,Grahamstown,ZA,52.61,overcast clouds,-33.3042,26.5328,Bartholomew's Loft
340,Sicamous,CA,66.18,overcast clouds,50.8331,-118.9856,Best Western Sicamous Inn
342,Taltal,CL,62.49,few clouds,-25.4,-70.4833,Residencial Karime
343,Lata,PT,66.06,overcast clouds,40.1629,-8.3327,Casa Maquia
345,Wilmington,US,80.01,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
346,Nampula,MZ,73.35,clear sky,-15.1165,39.2666,BUTIK Hotel
347,Nelson Bay,AU,56.77,clear sky,-32.7167,152.15,Mantra Nelson Bay
348,Ardalstangen,NO,52.29,overcast clouds,61.2371,7.6983,Klingenberg Hotel AS
349,Matanzas,CU,87.76,few clouds,23.0411,-81.5775,hostal sueños
